uniq_id,crawl_timestamp,product_url,product_name,product_description,list_price,sale_price,brand,item_number,gtin,package_size,category,postal_code,available
c18d1d1617863f8c742e819e45440943,2020-01-24 13:05:44,https://www.cymbalstore.com/ip/Cottonelle-Flushable-Wipes-504-ct/611823007,Cottonelle Flushable Wipes,"Cottonelle Flushable Wipes offer a refreshing and hygienic clean. These wipes are designed to be flushable and break down quickly after flushing, making them a convenient and responsible choice. Perfect for everyday use, Cottonelle Flushable Wipes leave you feeling clean and confident. Stock up with this generous pack for lasting freshness.",26.89,26.89,BRAND Cottonelle,"",611823007,,Household Essentials | Paper & Plastic | Flushable Wipes,,t
e35840f193b8d1aa6689c534821c2c09,2020-01-24 13:29:37,https://www.cymbalstore.com/ip/POWER-HOUSE/39574241,Powerhouse,"Unleash the Powerhouse: Engineered for peak performance and unwavering reliability. This product is designed to tackle demanding tasks with ease, providing the strength and stamina you need to conquer any challenge. Experience unparalleled power and efficiency with the Powerhouse.",33.44,33.44,"Delta Brands, Inc.","",0048155910928,,Household Essentials | Bathroom | Bathroom Cleaners,,t
a540c2437d4f4155250462d699385bbb,2020-03-10 03:09:56,https://www.cymbalstore.com/ip/12pcs-Bell-Shape-Ends-Stopper-Square-Buckle-Plastic-Cord-Lock-Rope-Lanyard-End-Fastener-Stoppers-Silver-Tone/261733107,Cord End Stopper,"These durable plastic \""Cord End Stoppers\"" are ideal for finishing and securing cord ends on lanyards, luggage, clothing, backpacks, sportswear, shoelaces, and tents. They're also great for replacing zipper pulls. Use them on drawstrings of sportswear or hoodies to prevent loss and ensure a snug fit. Available in various quantities and colors, these cord locks are washer and dryer safe. Dimensions: 11 x 11 x 14mm.",7.11,7.11,Unique Bargains,"",0024473664361,,Household Essentials | Drain & Septic Care,,t
63d8e0ba48c6f4c2544b009491c80201,2020-03-10 04:08:48,https://www.cymbalstore.com/ip/Office-Vegetables-LEDs-Warm-Full-Spectrum-Clip-28W-Grow-Plant-Lights-Desk-Lamp-Home-Hydroponic-Light-28Pcs-Garden-Degree-Gooseneck-Led-WALFRONT-Plant/564078358,28W LED Plant Grow Lamp,"The 28W LED Plant Grow Lamp helps your plants flourish indoors, even without sunlight. Made with high-quality, eco-friendly materials, this lamp features a 28-LED array (Red, Blue, Warm White, White, IR, UV) for optimal growth. Benefit from low power consumption, minimal heat, and a long 50000-hour lifespan. The flexible gooseneck and sturdy clamp allow for easy positioning in gardens, balconies, greenhouses, and more. Perfect for seedlings, potted plants, and hydroponics.",19.27,19.27,WALFRONT,"",564078358,,Household Essentials | Light Bulbs | Specialty Light Bulbs | Grow Lights,,t
757b2e3318f6a1c1d169aaedc7e0926d,2020-01-24 13:40:57,https://www.cymbalstore.com/ip/Brand-New-BATT-CHRGR-W-2-AA-2AAA/164385845,Battery Charger,"The Battery Charger from Rayovac offers a convenient and economical way to recharge your batteries. This value charger (model PS134-4B) comes complete with two AAA and two AA Ready-to-Use rechargeable batteries, so you can start saving money and reducing waste right away. Keep your devices powered and your wallet happy with this reliable charging solution.",26.73,26.73,RAYOVAC,"",0736891884183,,Household Essentials | Batteries | AAA Batteries,,t
aa3d954f52d1ba099c33465f70c7b07f,2020-01-24 13:09:59,https://www.cymbalstore.com/ip/Sunbeam-Rocket-Grill-Replacement-Pouches-15-Pack-UGB-15PDQ/175800444,Sunbeam Rocket Grill Pouches,"Keep your Sunbeam Rocket Grill cooking perfectly with these replacement pouches. This pack includes 15 pouches, ensuring you're always ready for a delicious grilled meal. These are specifically designed for the Sunbeam Rocket Grill and are compatible with RP36 and 007545-000-000. Enjoy convenient and easy grilling with these essential replacement pouches.",20.71,20.71,Sunbeam / Oster,"",0027045686396,,Household Essentials | Paper & Plastic | Food Storage Bags | Food Bags,,t
1a9909c9653bb013238c67db278b73a5,2020-01-24 13:51:22,https://www.cymbalstore.com/ip/Satco-S2817-65-watt-BR30-Incandescent-Frost-2000-average-rated-hours-620-lumens-Medium-base-120-volts-2-Pack/47414521,Satco BR30 Incandescent Lamp,"Satco BR30 Incandescent Lamp: 65W BR30 incandescent flood/reflector lamp. This 120V bulb provides a warm, familiar light. Comes in a convenient 2-pack. Ideal for general purpose lighting.",8.35,8.35,Satco,"",0045923028175,,Household Essentials | Light Bulbs | Incandescent Bulbs,,t
2d050bcfef33612032be98f42fb56777,2020-03-10 03:31:36,https://www.cymbalstore.com/ip/BON-AMI/27407413,Bon Ami Cleanser,"Bon Ami Cleanser is a gentle, multi-purpose cleaning powder with a convenient shaker top. This mild abrasive cleanser is perfect for tackling household messes.",8.93,8.93,Bon Ami,"",0017500040306,,Household Essentials | Cleaning Supplies | All-Purpose Cleaners,,t
26bdc24b321111474f630ec23f6c10e2,2020-03-10 03:47:56,https://www.cymbalstore.com/ip/NEW-2PK-71-OZ-Airwick-Scented-Oil-Refill-With-Aromatherapy/624258375,Airwick Aromatherapy Scented Oil Refill,"Airwick Aromatherapy Scented Oil Refill: Experience tranquility with our Relaxation Lavender & Chamomile scent. This refill, containing .71 oz, infuses your space with calming aromatherapy. This is a convenient 2-pack.",25.85,25.85,Reckitt Benckiser,"",0013962615571,,Household Essentials | Air Fresheners | Plug In Air Fresheners Scented Oils,,t
024b08a000f37dc921d9772a5b90cccb,2020-01-24 13:40:05,https://www.cymbalstore.com/ip/12-Pack-AA-Rechargeable-NiCD-Battery-800mAH-FREE-SHIPPING/114551665,AA Rechargeable NiCD Batteries,"AA Rechargeable NiCD Batteries: Reliable and rechargeable 1.2V AA NiCD batteries, 800mAh capacity. This product qualifies for FREE SHIPPING to US addresses. Get the power you need and save on shipping!",19.98,19.98,HiTech,"",0081462531950,,Household Essentials | Batteries | AA Batteries,,t
efff78c054fe32e3188ea157afaad8e9,2020-01-24 13:11:24,https://www.cymbalstore.com/ip/3-Pack-White-OEM-Microfiber-Spin-Mop-Refills-for-O-Cedar-Spin-Mop-Ocedar-Cleaning-Mop-Head-Replacement/930855814,Microfiber Spin Mop Refills,"Refresh your spin mop! These white microfiber refills are designed for O-Cedar spin mop systems. This 3-pack offers a convenient and cost-effective way to keep your floors sparkling. The machine-washable microfiber effectively cleans wood, laminate, and other surfaces without scratching. Enjoy hands-free cleaning and save time with these easy-to-install, snap-on mop refills.",12.99,12.99,Texas Lonestar,"",0652267600013,,Household Essentials | Cleaning Supplies | Cleaning Tools | Cleaning Refills,,t
59ebaa5f6281f6c26853de53d36bf374,2020-01-24 13:47:01,https://www.cymbalstore.com/ip/30-Inch-76-cm-2-Pair-Pack-of-Black-Sparkling-Athletic-shoelaces-8mm-wide-flat-dance-trainer-laces/895294371,Sparkling Athletic Shoelaces,"Sparkling Athletic Shoelaces: Give your footwear a dazzling upgrade with our 2-pair pack of 8mm wide flat laces! Perfect for dance shoes or trainers, these sparkling shoelaces add a brilliant and fashionable touch. The glitter style flat lace design provides a pop of twinkling color, instantly revitalizing your shoes.",8.59,8.59,Sport28,"",0653407443392,,Household Essentials | Shoe Care & Repair | Shoelaces,,t
a73d5f754f225ecb9fdc64232a57bc37,2020-01-24 13:25:41,https://www.cymbalstore.com/ip/Laundry-Tub-Strainer-Cup/719223751,Laundry Sink Strainer,"Chrome laundry sink strainer cup designed for 1.5-inch drains. Compact size: 0.6\"" length, 3.9\"" width, and 2.9\"" height. Carded for easy display.",11.74,11.74,FoodFirst,"",0654204354164,,Home | Kitchen & Dining | Tools & Gadgets | Kitchen Tools & Gadgets | Food Strainers & Colanders,,f
45d3d073de6600b2cb26ea946396a854,2020-01-24 13:55:23,https://www.cymbalstore.com/ip/HQRP-270W-High-Power-90-LED-6-Band-Hydroponic-Plant-Grow-Light-Panel-Lamp-with-hanging-kit-UV-Meter/206280439,High-Power LED Grow Light Panel,"Maximize plant health and potential with the High-Power LED Grow Light Panel. This panel utilizes a synchronized spectrum of red, blue, orange, white, UV, and IR LEDs for optimal growth. Blue light promotes vegetative growth, while red and orange light enhance photosynthesis and flowering. White LEDs supplement natural sunlight absorption. IR light supports healthy flower production, and UV light mimics sunlight for efficient growth. Features include high PAR, a built-in cooling system, and an easy-to-use hanging kit. Ideal for indoor use. Includes HQRP UV meter to monitor UV levels.",157.91,157.91,HQRP,"",0887774023882,,Household Essentials | Light Bulbs | Specialty Light Bulbs | Grow Lights,,t
34eed507d9f7b2cddc8d4f2556770bc3,2020-01-24 13:19:25,https://www.cymbalstore.com/ip/Great-Value-Everyday-Paper-Napkins-300-Count/826017578,Everyday Paper Napkins,"Stock up on Everyday Paper Napkins for mealtime and more! These one-ply white napkins are thick, absorbent, and strong enough for any occasion. Each pack contains 300 napkins, sized 11.4\"" x 12.5\"". Perfect for everyday use at home, in the office, or for entertaining. Plus, they're SFI certified, ensuring sustainable harvesting practices. Get quality and value with Everyday Paper Napkins.",3.97,3.97,Great Value,570621332,0078742210469,,Household Essentials | Paper & Plastic | Paper Napkins,,t
e44010b4b17163d8ac39daa298c037a6,2020-03-10 04:09:27,https://www.cymbalstore.com/ip/All-Set-YOYO-Brightness-Full-Spectrum-Sunlike-1000W-Grow-Light-Hanger-Stage-Kits-Thermo-hygrometer-Flower-Diammable-Led-Plants-HYDRO-Timer-MARS-Hydro/151855001,MARS HYDRO TS 1000 LED Grow Light,"The MARS HYDRO TS 1000 LED Grow Light provides a high-intensity, full-spectrum light perfect for indoor plant growth. Featuring Epistar SMD chips, it delivers optimal PAR readings for maximum photosynthesis. With a low wattage of 150W, the TS 1000 replaces a 250W HPS while saving energy and reducing heat. Its fanless design ensures zero noise, and the aluminum heat sinks provide excellent cooling. Ideal for a 2.5ft x 2.5ft core coverage area, this light promotes higher yields, larger flowers, and increased potency.",139.99,139.99,Mars Hydro,"",0686494418080,,Household Essentials | Light Bulbs | Specialty Light Bulbs | Grow Lights,,t
86dad013a49394881b1e6db35883fe75,2020-01-24 13:50:36,https://www.cymbalstore.com/ip/Great-Value-Cleaning-Bleach-128-fl-oz/43888100,Cleaning Bleach,"Cleaning Bleach delivers a cleaner, fresher household and laundry. This bleach works with standard HE washers to brighten whites and fight tough stains. Effective on bathroom and kitchen surfaces, dishes, and sinks, it also deodorizes pre-cleaned toilet bowls. Keep your home clean and deodorized with Cleaning Bleach. Ideal for kitchens, baths, and laundry rooms. Use on tubs, showers, countertops, sinks, ceramic tile, and vinyl flooring.",2.60,2.60,Great Value,553565758,0078742088327,,Household Essentials | Laundry | Bleach | Chlorine Bleach,,t
f38a93476d628192a2aa410f7b12fe62,2020-03-10 03:53:04,https://www.cymbalstore.com/ip/Tuscom-Electric-Fly-Bug-Zapper-Mosquito-Insect-Killer-LED-Light-Trap-Lamp-Pest-Control/882993089,Tuscom Insect Zapper,"The Tuscom Insect Zapper eliminates pesky mosquitoes, flies, and insects with its efficient LED light trap. Its modern, curved design enhances ultraviolet rays, attracting insects for effective pest control. Operating quietly, it ensures undisturbed sleep. Features include a 20-40 square meter coverage, low 5W power consumption, and strong suction to trap insects. Made of plastic, its compact size fits seamlessly into any space. Note: For optimal results, position the zapper away from people. Enjoy a bug-free environment with this effective and stylish insect killer.",13.99,13.99,Tuscom,"",0798374331645,,Household Essentials | Pest Control | All Pest Control,,t
d746044222461ec448dfbaeb16e257fd,2020-03-10 03:30:29,https://www.cymbalstore.com/ip/OxiClean-Washing-Machine-Cleaner-with-Odor-Blasters-4-Count/44886406,OxiClean Washing Machine Cleaner,"Eliminate musty washer odors with OxiClean Washing Machine Cleaner. This powerful formula removes odor-causing residues, leaving your machine fresh and clean. Use one pouch monthly to maintain optimal performance and keep clothes smelling their best. Safe for both standard and HE washers, and won't harm septic tanks. Get a cleaner washer for cleaner clothes. One box contains 4 pouches.",7.52,6.99,OxiClean,554044194,0757037950517,,Household Essentials | Cleaning Supplies | All-Purpose Cleaners,,t
673e612c3cc102bb35ffc9fccd45e1f6,2020-01-24 14:05:23,https://www.cymbalstore.com/ip/Danielson-Shellfish-16-Star-Crab-Trap/36473363,Danielson Crab Trap,"Enjoy fresh, affordable crab feasts with the Danielson Crab Trap. This durable trap lets you catch your own crabs, avoiding high market prices. Built to last season after season, it measures 17.4 x 16.75 x 2.15 inches and weighs only 1.89 lbs for easy deployment and retrieval. Get ready to eat like a king!",19.12,19.12,Danielson,553978436,0032054000637,,Household Essentials | Pest Control | Insect & Pest Traps,,t
1f993d4a344e38456c370abf9d9a2e2a,2020-03-10 03:11:59,https://www.cymbalstore.com/ip/Glade-2in1-Jar-Candle-Air-Freshener-Hawaiian-Breeze-Vanilla-Passion-Fruit-3-4-oz/48176272,Glade Hawaiian Breeze & Vanilla Passion Fruit Candle,"Transport yourself to a tropical paradise with the Glade Hawaiian Breeze & Vanilla Passion Fruit Candle. This 2-in-1 candle blends the exotic aromas of Hawaiian Breeze and the sweet, creamy scent of Vanilla Passion Fruit for a unique and captivating fragrance experience. Escape the everyday with its soothing glow and dual scents that quickly fill any room. Enjoy a consistent and long-lasting fragrance that lingers even after the candle is extinguished. Packaging may vary.",8.96,8.96,Glade,554707702,0046500769467,,Household Essentials | Bathroom | Candles,,t
1c07434e899a801f00963ad9b9ffeead,2020-03-10 03:51:02,https://www.cymbalstore.com/ip/Easy-To-Open-Reclosable-Storage-Bags-9-x-12-2-Mil-1000-Baggies/170157260,Storage Bags,"Storage Bags: Reliable 2 Mil reclosable bags crafted from 100% Virgin Low Density Polyethylene (LDPE), meeting FDA and USDA standards. Ideal for safeguarding collectibles, photos, first aid supplies, or medications. Excellent for organization in fast-paced environments, keeping tools and parts readily available. Features include an offset lip for easy opening, water resistance, and recyclability. Temperature range: 20\u00b0F to 150\u00b0F. Economical, convenient, and available in various sizes. Not for microwave/dishwasher/oven use. Perfect for protecting and storing items while ensuring freshness.",54.95,54.95,PackagingSuppliesByMail,"",0710500404856,,Household Essentials | Paper & Plastic | Food Storage Bags | Food Bags,,t
f398c6be87f6b2757ce267c02b812a54,2020-01-24 13:48:59,https://www.cymbalstore.com/ip/Range-Hood-Filter-for-GE-General-Electric-WB2X2891-Hotpoint-Replacement/402694301,Range Hood Filter Replacement,"Replace your worn-out or ineffective range hood filter with our Range Hood Filter Replacement. Designed as a direct replacement for GE General Electric WB2X2891 and Hotpoint models, this filter effectively traps grease and odors, keeping your kitchen air clean and fresh. Ensure optimal performance and protect your range hood by replacing your filter regularly. Easy to install and durable for long-lasting use. Get yours today!",9.31,9.31,Replacement Part,"",0842654105935,,Household Essentials | Light Bulbs | Halogen Bulbs,,t
368800cae93928fa58444f899df15c75,2020-03-10 03:45:24,https://www.cymbalstore.com/ip/Two-Sided-Laundry-Hamper-with-Lid-Mesh-Liner-Bags-and-Handles-by-Lavish-Home/887303523,Divided Laundry Hamper,"Simplify laundry day with this Divided Laundry Hamper! It features two divided sections for easy sorting of lights, darks, or linens. Removable mesh liners with handles make transporting clothes a breeze. A lid discreetly hides dirty laundry, while the collapsible design ensures space-saving storage. The neutral gray color complements any room.",35.36,35.36,Lavish Home,575372579,0193420236132,,Household Essentials | Laundry | Laundry Detergents,,t
