run_id,alternative,is_success,duration,total_tokens,tool_name
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,read_docs
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,read_docs
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,read_docs
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,write_file
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,file_create
5141,godoctor-mcp,1,103811198167,963495,read_docs
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,file_create
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,write_file
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,file_create
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,file_create
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,write_file
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,file_create
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,write_file
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,write_file
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,read_docs
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,write_file
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,smart_edit
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,file_create
5143,godoctor-extension,1,119520594542,1870086,file_create
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,write_file
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,write_file
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,write_file
5141,godoctor-mcp,1,103811198167,963495,write_file
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,smart_edit
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,file_create
5141,godoctor-mcp,1,103811198167,963495,write_file
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,replace
5143,godoctor-extension,1,119520594542,1870086,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,replace
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,run_shell_command
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,smart_edit
5143,godoctor-extension,1,119520594542,1870086,file_create
5141,godoctor-mcp,1,103811198167,963495,run_shell_command
5144,godoctor-mcp-with-custom-context,1,159145557958,1912681,run_shell_command
5146,godoctor-mcp-with-extension-context,1,124520180917,1278953,file_create
5142,godoctor-mcp-with-extension-context,1,198350340458,1506737,run_shell_command
